Package	Version	Source	RemoteType	RemoteRepo	RemoteUsername	RemoteRef	RemoteSha
pander	0.6.6	CRAN	NA	NA	NA	NA	NA
parallelly	1.45.1	CRAN	NA	NA	NA	NA	NA
parameters	0.28.3	CRAN	NA	NA	NA	NA	NA
patchwork	1.3.2	CRAN	NA	NA	NA	NA	NA
performance	0.15.3	CRAN	NA	NA	NA	NA	NA
permute	0.9-8	CRAN	NA	NA	NA	NA	NA
pillar	1.11.1	CRAN	NA	NA	NA	NA	NA
pixmap	0.4-14	CRAN	NA	NA	NA	NA	NA
pkgbuild	1.4.8	CRAN	NA	NA	NA	NA	NA
pkgconfig	2.0.3	CRAN	NA	NA	NA	NA	NA
pkgdown	2.2.0	CRAN	NA	NA	NA	NA	NA
pkgload	1.4.1	CRAN	NA	NA	NA	NA	NA
plyr	1.8.9	CRAN	NA	NA	NA	NA	NA
poilog	0.4.2.1	CRAN	NA	NA	NA	NA	NA
polynom	1.4-1	CRAN	NA	NA	NA	NA	NA
poweRlaw	1.0.0	CRAN	NA	NA	NA	NA	NA
pracma	2.4.6	CRAN	NA	NA	NA	NA	NA
praise	1.0.0	CRAN	NA	NA	NA	NA	NA
prettyunits	1.2.0	CRAN	NA	NA	NA	NA	NA
processx	3.8.6	CRAN	NA	NA	NA	NA	NA
profvis	0.4.0	CRAN	NA	NA	NA	NA	NA
progress	1.2.3	CRAN	NA	NA	NA	NA	NA
promises	1.5.0	CRAN	NA	NA	NA	NA	NA
ps	1.9.1	CRAN	NA	NA	NA	NA	NA
purrr	1.2.0	CRAN	NA	NA	NA	NA	NA
quadprog	1.5-8	CRAN	NA	NA	NA	NA	NA
quantmod	0.4.28	CRAN	NA	NA	NA	NA	NA
quantreg	6.1	CRAN	NA	NA	NA	NA	NA
R.cache	0.17.0	CRAN	NA	NA	NA	NA	NA
R.methodsS3	1.8.2	CRAN	NA	NA	NA	NA	NA
R.oo	1.27.1	CRAN	NA	NA	NA	NA	NA
R.utils	2.13.0	CRAN	NA	NA	NA	NA	NA
R6	2.6.1	CRAN	NA	NA	NA	NA	NA
ragg	1.5.0	CRAN	NA	NA	NA	NA	NA
rappdirs	0.3.3	CRAN	NA	NA	NA	NA	NA
rbibutils	2.4	CRAN	NA	NA	NA	NA	NA
rcmdcheck	1.4.0	CRAN	NA	NA	NA	NA	NA
RColorBrewer	1.1-3	CRAN	NA	NA	NA	NA	NA
Rcpp	1.1.0	CRAN	NA	NA	NA	NA	NA
RcppArmadillo	15.2.2-1	CRAN	NA	NA	NA	NA	NA
RcppEigen	0.3.4.0.2	CRAN	NA	NA	NA	NA	NA
RCurl	1.98-1.17	CRAN	NA	NA	NA	NA	NA
Rdpack	2.6.4	CRAN	NA	NA	NA	NA	NA
readr	2.1.6	CRAN	NA	NA	NA	NA	NA
readxl	1.4.5	CRAN	NA	NA	NA	NA	NA
reformulas	0.4.2	CRAN	NA	NA	NA	NA	NA
rematch	2.0.0	CRAN	NA	NA	NA	NA	NA
rematch2	2.1.2	CRAN	NA	NA	NA	NA	NA
remotes	2.5.0	CRAN	NA	NA	NA	NA	NA
renv	1.1.5	CRAN	standard	NA	NA	renv	1.1.5
reprex	2.1.1	CRAN	NA	NA	NA	NA	NA
reshape2	1.4.5	CRAN	NA	NA	NA	NA	NA
rex	1.2.1	CRAN	NA	NA	NA	NA	NA
Rhtslib	2.2.0	System/Manual	NA	NA	NA	NA	NA
rlang	1.1.6	CRAN	NA	NA	NA	NA	NA
rmarkdown	2.30	CRAN	NA	NA	NA	NA	NA
roxygen2	7.3.3	CRAN	NA	NA	NA	NA	NA
rprojroot	2.1.1	CRAN	NA	NA	NA	NA	NA
Rsamtools	2.16.0	System/Manual	NA	NA	NA	NA	NA
rstudioapi	0.17.1	CRAN	NA	NA	NA	NA	NA
Rttf2pt1	1.3.14	CRAN	NA	NA	NA	NA	NA
rversions	3.0.0	CRAN	NA	NA	NA	NA	NA
rvest	1.0.5	CRAN	NA	NA	NA	NA	NA
S4Vectors	0.38.2	System/Manual	NA	NA	NA	NA	NA
S7	0.2.1	CRAN	NA	NA	NA	NA	NA
sass	0.4.10	CRAN	NA	NA	NA	NA	NA
scales	1.4.0	CRAN	NA	NA	NA	NA	NA
segmented	2.1-4	CRAN	NA	NA	NA	NA	NA
selectr	0.4-2	CRAN	NA	NA	NA	NA	NA
seqinr	4.2-36	CRAN	NA	NA	NA	NA	NA
sessioninfo	1.2.3	CRAN	NA	NA	NA	NA	NA
shiny	1.11.1	CRAN	NA	NA	NA	NA	NA
sjlabelled	1.2.0	CRAN	NA	NA	NA	NA	NA
sjmisc	2.8.11	CRAN	NA	NA	NA	NA	NA
sjPlot	2.9.0	CRAN	NA	NA	NA	NA	NA
sjstats	0.19.1	CRAN	NA	NA	NA	NA	NA
snow	0.4-4	CRAN	NA	NA	NA	NA	NA
sourcetools	0.1.7-1	CRAN	NA	NA	NA	NA	NA
sp	2.2-0	CRAN	NA	NA	NA	NA	NA
SparseM	1.84-2	CRAN	NA	NA	NA	NA	NA
spelling	2.3.2	CRAN	NA	NA	NA	NA	NA
stringi	1.8.7	CRAN	NA	NA	NA	NA	NA
stringr	1.6.0	CRAN	NA	NA	NA	NA	NA
styler	1.10.3	CRAN	NA	NA	NA	NA	NA
sys	3.4.3	CRAN	NA	NA	NA	NA	NA
systemfonts	1.3.1	CRAN	NA	NA	NA	NA	NA
testthat	3.3.0	CRAN	NA	NA	NA	NA	NA
textshaping	1.0.4	CRAN	NA	NA	NA	NA	NA
tibble	3.3.0	CRAN	NA	NA	NA	NA	NA
tidyr	1.3.1	CRAN	NA	NA	NA	NA	NA
tidyselect	1.2.1	CRAN	NA	NA	NA	NA	NA
tidyverse	2.0.0	CRAN	NA	NA	NA	NA	NA
timechange	0.3.0	CRAN	NA	NA	NA	NA	NA
timeDate	4051.111	CRAN	NA	NA	NA	NA	NA
tinytex	0.58	CRAN	NA	NA	NA	NA	NA
tseries	0.10-58	CRAN	NA	NA	NA	NA	NA
TTR	0.24.4	CRAN	NA	NA	NA	NA	NA
tzdb	0.5.0	CRAN	NA	NA	NA	NA	NA
urca	1.3-4	CRAN	NA	NA	NA	NA	NA
urlchecker	1.0.1	CRAN	NA	NA	NA	NA	NA
usethis	3.2.1	CRAN	NA	NA	NA	NA	NA
utf8	1.2.6	CRAN	NA	NA	NA	NA	NA
uuid	1.2-1	CRAN	NA	NA	NA	NA	NA
vctrs	0.6.5	CRAN	NA	NA	NA	NA	NA
vdiffr	1.0.8	CRAN	NA	NA	NA	NA	NA
vegan	2.7-2	CRAN	NA	NA	NA	NA	NA
VGAM	1.1-14	CRAN	NA	NA	NA	NA	NA
viridisLite	0.4.2	CRAN	NA	NA	NA	NA	NA
vroom	1.6.6	CRAN	NA	NA	NA	NA	NA
waldo	0.6.2	CRAN	NA	NA	NA	NA	NA
whisker	0.4.1	CRAN	NA	NA	NA	NA	NA
withr	3.0.2	CRAN	NA	NA	NA	NA	NA
xfun	0.54	CRAN	NA	NA	NA	NA	NA
xml2	1.4.0	CRAN	NA	NA	NA	NA	NA
xmlparsedata	1.0.5	CRAN	NA	NA	NA	NA	NA
xopen	1.0.1	CRAN	NA	NA	NA	NA	NA
xtable	1.8-4	CRAN	NA	NA	NA	NA	NA
xts	0.14.1	CRAN	NA	NA	NA	NA	NA
XVector	0.40.0	System/Manual	NA	NA	NA	NA	NA
yaml	2.3.12	CRAN	NA	NA	NA	NA	NA
zip	2.3.3	CRAN	NA	NA	NA	NA	NA
zlibbioc	1.46.0	System/Manual	NA	NA	NA	NA	NA
zoo	1.8-14	CRAN	NA	NA	NA	NA	NA
base	4.3.3	System/Manual	NA	NA	NA	NA	NA
boot	1.3-30	CRAN	NA	NA	NA	NA	NA
class	7.3-22	CRAN	NA	NA	NA	NA	NA
cluster	2.1.6	CRAN	NA	NA	NA	NA	NA
codetools	0.2-19	CRAN	NA	NA	NA	NA	NA
compiler	4.3.3	System/Manual	NA	NA	NA	NA	NA
datasets	4.3.3	System/Manual	NA	NA	NA	NA	NA
foreign	0.8-86	CRAN	NA	NA	NA	NA	NA
graphics	4.3.3	System/Manual	NA	NA	NA	NA	NA
grDevices	4.3.3	System/Manual	NA	NA	NA	NA	NA
grid	4.3.3	System/Manual	NA	NA	NA	NA	NA
KernSmooth	2.23-22	CRAN	NA	NA	NA	NA	NA
lattice	0.22-5	CRAN	NA	NA	NA	NA	NA
MASS	7.3-60.0.1	CRAN	NA	NA	NA	NA	NA
Matrix	1.6-5	CRAN	NA	NA	NA	NA	NA
methods	4.3.3	System/Manual	NA	NA	NA	NA	NA
mgcv	1.9-1	CRAN	NA	NA	NA	NA	NA
nlme	3.1-164	CRAN	NA	NA	NA	NA	NA
nnet	7.3-19	CRAN	NA	NA	NA	NA	NA
parallel	4.3.3	System/Manual	NA	NA	NA	NA	NA
rpart	4.1.23	CRAN	NA	NA	NA	NA	NA
spatial	7.3-17	CRAN	NA	NA	NA	NA	NA
splines	4.3.3	System/Manual	NA	NA	NA	NA	NA
stats	4.3.3	System/Manual	NA	NA	NA	NA	NA
stats4	4.3.3	System/Manual	NA	NA	NA	NA	NA
survival	3.5-8	CRAN	NA	NA	NA	NA	NA
tcltk	4.3.3	System/Manual	NA	NA	NA	NA	NA
tools	4.3.3	System/Manual	NA	NA	NA	NA	NA
utils	4.3.3	System/Manual	NA	NA	NA	NA	NA
